4.198496174149996563e+01,1.558168322209999985e+02,1.829487919634999855e+02,2.041919697929999700e+02,2.231860100505000162e+02,2.407552919634999569e+02,2.589077919634999603e+02,2.768178322210000601e+02,2.968463322210000683e+02,3.175825100505000478e+02,3.409842919634999703e+02,3.680091141340000149e+02,3.988675503080000340e+02,4.429427919635000421e+02,5.081090503080000076e+02,7.678350583594999534e+02
5.511062851929998629e+01,1.507548997779999524e+02,1.744634609014999853e+02,1.926869609014999867e+02,2.113809854989999621e+02,2.275879609014999971e+02,2.440439854989999731e+02,2.606698751805000711e+02,2.780713997780000000e+02,2.968079854989999831e+02,3.163478751804999547e+02,3.418879854990000240e+02,3.707848751804999665e+02,4.034414854990000094e+02,4.626279609015000460e+02,6.845192932837001081e+02
5.640577228599997994e+01,1.384350940300000161e+02,1.610351981930000420e+02,1.782715940300000170e+02,1.939183204760000478e+02,2.086756981930000165e+02,2.247005940299999907e+02,2.392685759100000098e+02,2.547530940299999997e+02,2.704856121500000654e+02,2.893323204760000067e+02,3.092923204760000431e+02,3.350610940300000493e+02,3.671670940300000439e+02,4.187665940300000784e+02,5.836834157740000819e+02
4.277447129249998170e+01,1.243496680784999739e+02,1.432314330715000210e+02,1.590706680784999776e+02,1.731409845540000276e+02,1.853741680784999630e+02,1.987742195610000238e+02,2.108139330715000028e+02,2.242963815889999921e+02,2.379866680784999744e+02,2.540359330714999828e+02,2.723099330715000406e+02,2.932973815889999969e+02,3.231304845540000770e+02,3.659782195610000031e+02,5.096513948505000826e+02
4.278178795089994679e+01,1.092544702934999918e+02,1.274549702934999686e+02,1.415282166654999969e+02,1.533459555789999342e+02,1.641049850079999430e+02,1.763004702934999841e+02,1.883617166655000119e+02,2.000117019509999921e+02,2.117509483230000171e+02,2.252289702934999696e+02,2.413944702934999782e+02,2.603234702935000087e+02,2.853502019510000309e+02,3.213784702934999586e+02,4.575581526361000897e+02
2.801735285069998582e+01,9.047650639999997679e+01,1.058416689734999920e+02,1.180502960540000004e+02,1.288772960539999985e+02,1.391045063999999627e+02,1.486197741465000206e+02,1.588645063999999536e+02,1.678571689734999950e+02,1.785394012270000417e+02,1.911834012269999903e+02,2.045371689735000018e+02,2.204936689734999504e+02,2.409362741464999829e+02,2.746067960540000286e+02,4.316571954422999511e+02
2.931925245819994785e+01,8.175678490349997674e+01,9.588236420199999088e+01,1.057875344629999859e+02,1.153084497729999782e+02,1.249021993324999755e+02,1.331745353439999917e+02,1.418929497729999696e+02,1.505752849034999770e+02,1.588056993324999837e+02,1.694399497729999950e+02,1.813117849035000120e+02,1.961708642019999900e+02,2.153323642019999795e+02,2.447554497729999810e+02,3.468786470878000614e+02
1.728276914860002833e+01,6.310800296499999718e+01,7.512759665549998545e+01,8.488976883850000377e+01,9.354359665549998226e+01,1.009431903459999660e+02,1.083610966554999777e+02,1.161856903459999728e+02,1.238000966554999991e+02,1.313878625289999889e+02,1.408358625289999964e+02,1.514175966554999775e+02,1.661680966554999657e+02,1.824375029649999931e+02,2.083090966554999852e+02,3.208739559093999674e+02
4.221486989699954506e+00,4.531727386899999033e+01,5.543337670599996159e+01,6.289787670599997682e+01,6.971669952450000096e+01,7.550525094299999296e+01,8.138025094299996454e+01,8.694482528749998096e+01,9.360525094299998727e+01,1.002193767059999914e+02,1.070243767059999698e+02,1.149381995245000212e+02,1.236631995245000155e+02,1.365273252874999912e+02,1.571356995245000121e+02,2.320221635853000350e+02
-1.126749347990002548e+01,1.445851269600001565e+01,2.216930378800003609e+01,2.790573716150001360e+01,3.278323716150001133e+01,3.731638270749999720e+01,4.113715824200002658e+01,4.514115824200001725e+01,4.870073716150002952e+01,5.276073716150000337e+01,5.686215824200002089e+01,6.163323716150000564e+01,6.734446162699998695e+01,7.474423716150002406e+01,8.576880378800004223e+01,1.239419678029000096e+02
